date,contCmd_SetCombState:05414,contDevMngr_HardenAllCombs:08249,phyDev_HardenAllCombs:02658,raidComb_SetCombState:00128,
25/03 10:08:01,0,1,0,0,
25/03 10:09:03,0,1,0,0,
25/03 10:10:03,0,1,0,0,
25/03 10:11:04,2,0,0,4,
25/03 10:11:05,3,1,0,0,
25/03 10:12:07,0,1,0,0,
25/03 10:12:56,1,0,0,0,
25/03 10:13:07,0,1,0,0,
25/03 10:14:08,0,1,0,0,
25/03 10:15:10,0,1,0,0,
25/03 10:16:12,0,1,0,0,
25/03 10:17:14,0,1,0,0,
25/03 10:18:14,0,1,0,0,
25/03 10:19:15,0,1,0,0,
25/03 10:20:16,0,1,0,0,
25/03 10:21:17,0,1,0,0,
25/03 10:22:21,0,1,0,0,
25/03 10:23:22,0,1,0,0,
25/03 10:24:23,0,1,0,0,
25/03 10:25:25,0,1,0,0,
25/03 10:26:27,0,1,0,0,
25/03 10:27:32,0,1,0,0,
25/03 10:28:16,5,0,0,0,
25/03 10:28:20,1,0,0,0,
25/03 10:28:33,0,1,0,0,
25/03 10:29:34,0,1,0,0,
25/03 10:30:35,0,1,0,0,
25/03 10:31:37,0,1,0,0,
25/03 10:32:41,0,1,0,0,
25/03 10:33:43,0,1,0,0,
25/03 10:34:47,0,1,0,0,
25/03 10:35:47,0,1,0,0,
25/03 10:36:47,0,1,0,0,
25/03 10:37:48,0,1,0,0,
25/03 10:38:48,0,1,0,0,
25/03 10:39:50,0,1,0,0,
25/03 10:40:50,0,1,0,0,
25/03 10:41:53,0,1,0,0,
